iter	Logloss
0	0.6087770996
1	0.5585233154
2	0.5037342529
3	0.4502623596
4	0.4148071899
5	0.3832571106
6	0.3516309509
7	0.3273635254
8	0.3082780457
9	0.2872679443
10	0.2697852783
11	0.2559891205
12	0.2432875671
13	0.2325458679
14	0.2251944733
15	0.2135905762
16	0.2062843933
17	0.2012706146
18	0.1945707092
19	0.1892096252
20	0.1831368103
21	0.1773254395
22	0.1717667694
23	0.1673672791
24	0.1626095886
25	0.1589923859
26	0.1549370575
27	0.1512022705
28	0.1475859985
29	0.1451998901
30	0.1420585632
31	0.1381219177
32	0.1350241547
33	0.1328098297
34	0.1304533539
35	0.1284567871
36	0.1271645203
37	0.1255977402
38	0.1229814148
39	0.1208382339
40	0.1179930344
41	0.116539032
42	0.114567543
43	0.1125673676
44	0.1101977844
45	0.1082829437
46	0.1068945084
47	0.1057443924
48	0.1045550461
49	0.1032938232
50	0.1023583221
51	0.101891304
52	0.1009681702
53	0.09999316406
54	0.09850508881
55	0.09717860413
56	0.0957796402
57	0.09423461914
58	0.09307621765
59	0.09139918518
60	0.09022467041
61	0.08946730804
62	0.08853115082
63	0.08797439575
64	0.08631070709
65	0.08520726013
66	0.08460388184
67	0.08386776733
68	0.08357562256
69	0.08184083557
70	0.08081648254
71	0.07995497894
72	0.07868980408
73	0.07722824097
74	0.07681151581
75	0.07608024597
76	0.07498287964
77	0.07364413452
78	0.0727830658
79	0.07232125854
80	0.07133782959
81	0.0710050354
82	0.07016965485
83	0.06943191528
84	0.0693343811
85	0.06901121521
86	0.06816513062
87	0.06760774231
88	0.06664265442
89	0.06527150726
90	0.06479212952
91	0.06389382935
92	0.06270301056
93	0.06216322708
94	0.06147647858
95	0.06098242569
96	0.06038694763
97	0.05888819885
98	0.05816722107
99	0.05736181641
100	0.05684268188
101	0.05604489517
102	0.05573374939
103	0.05487101746
104	0.05411574554
105	0.05341173553
106	0.05281330109
107	0.05178695679
108	0.05121873474
109	0.05001275635
110	0.04919996262
111	0.04862272263
112	0.04769471741
113	0.04703676605
114	0.04652952576
115	0.04609398651
116	0.04562778854
117	0.04531221008
118	0.04473181152
119	0.04423312378
120	0.04379521179
121	0.04375193024
122	0.04282684326
123	0.04245122528
124	0.04225558472
125	0.0416829071
126	0.04135049438
