iter	Passed	Remaining
0	2	2667
1	4	2519
2	6	2458
3	8	2494
4	10	2440
5	12	2390
6	13	2358
7	15	2345
8	17	2322
9	19	2305
10	21	2282
11	22	2266
12	24	2231
13	25	2194
14	27	2172
15	29	2147
16	30	2116
17	31	2098
18	33	2072
19	34	2061
20	36	2051
21	38	2040
22	39	2023
23	40	2004
24	42	1994
25	43	1983
26	45	1969
27	46	1950
28	47	1931
29	49	1914
30	50	1898
31	51	1880
32	52	1866
33	54	1853
34	55	1841
35	56	1833
36	57	1822
37	59	1810
38	60	1800
39	61	1790
40	62	1780
41	64	1770
42	65	1760
43	66	1751
44	68	1746
45	69	1740
46	70	1732
47	71	1727
48	73	1727
49	80	1851
50	82	1849
51	84	1861
52	85	1859
53	87	1857
54	88	1851
55	90	1846
56	91	1840
57	93	1834
58	94	1828
59	95	1822
60	97	1817
61	98	1811
62	100	1807
63	101	1801
64	102	1796
65	104	1791
66	105	1785
67	106	1780
68	108	1774
69	109	1768
70	110	1764
71	112	1759
72	113	1753
73	114	1748
74	116	1743
75	117	1738
76	118	1733
77	120	1728
78	121	1724
79	122	1720
80	124	1717
81	125	1712
82	126	1706
83	128	1703
84	128	1691
85	130	1687
86	131	1682
87	133	1682
88	134	1677
89	135	1673
90	136	1669
91	138	1664
92	139	1661
93	140	1657
94	142	1653
95	143	1649
96	144	1645
97	146	1642
98	147	1638
99	148	1635
100	149	1632
101	151	1627
102	152	1625
103	153	1621
104	155	1617
105	156	1614
106	157	1610
107	158	1607
108	160	1603
109	161	1599
110	162	1595
111	163	1592
112	165	1589
113	166	1586
114	167	1583
115	169	1580
116	170	1581
117	172	1579
118	173	1576
119	174	1572
120	176	1570
121	177	1566
122	178	1563
123	180	1565
124	181	1562
125	182	1559
126	184	1556
