event_id,date,match,outcome,odds,closing_odds,closing_fair_odds,p_model,p_devig,p_calibrated,raw_ev_pct,calibrated_ev_pct,status,actual_result,is_win,raw_clv,raw_clv_pct,fair_clv,fair_clv_pct,beat_closing,is_candidate_signal
2023-08-11_Burnley_Manchester City_home,2023-08-11,Burnley vs Manchester City,home,9.5,8.58,9.276,0.154,0.105,0.1112,46.3,5.65,CALIBRATED_EV,away,False,0.1072,10.72,0.0241,2.41,True,False
2023-08-11_Burnley_Manchester City_draw,2023-08-11,Burnley vs Manchester City,draw,5.68,5.51,5.862,0.2075,0.1758,0.1798,17.86,2.1,MARGINAL_EV,away,False,0.0309,3.09,-0.031,-3.1,True,False
2023-08-11_Burnley_Manchester City_away,2023-08-11,Burnley vs Manchester City,away,1.39,1.37,1.386,0.6386,0.7192,0.6966,-11.23,-3.17,NO_EDGE,away,True,0.0146,1.46,0.0029,0.29,True,False
2023-08-12_Everton_Fulham_home,2023-08-12,Everton vs Fulham,home,2.3,2.27,2.321,0.2895,0.4332,0.4171,-33.42,-4.07,NO_EDGE,away,False,0.0132,1.32,-0.009,-0.9,True,False
2023-08-12_Everton_Fulham_draw,2023-08-12,Everton vs Fulham,draw,3.57,3.45,3.568,0.2395,0.2785,0.2676,-14.5,-4.46,NO_EDGE,away,False,0.0348,3.48,0.0006,0.06,True,True
2023-08-12_Everton_Fulham_away,2023-08-12,Everton vs Fulham,away,3.45,3.35,3.462,0.4709,0.2883,0.3087,62.46,6.51,CALIBRATED_EV,away,True,0.0299,2.99,-0.0035,-0.35,True,True
2023-08-12_Sheffield United_Crystal Palace_home,2023-08-12,Sheffield United vs Crystal Palace,home,3.31,3.28,3.379,0.3692,0.3029,0.3214,22.21,6.4,CALIBRATED_EV,away,False,0.0091,0.91,-0.0204,-2.04,True,False
2023-08-12_Sheffield United_Crystal Palace_draw,2023-08-12,Sheffield United vs Crystal Palace,draw,3.42,3.22,3.316,0.2687,0.2932,0.2839,-8.1,-2.9,NO_EDGE,away,False,0.0621,6.21,0.0314,3.14,True,True
2023-08-12_Sheffield United_Crystal Palace_away,2023-08-12,Sheffield United vs Crystal Palace,away,2.48,2.43,2.485,0.3621,0.404,0.3923,-10.2,-2.72,NO_EDGE,away,True,0.0206,2.06,-0.002,-0.2,True,True
2023-08-12_Arsenal_Nottingham Forest_home,2023-08-12,Arsenal vs Nottingham Forest,home,1.21,1.18,1.194,0.6815,0.8261,0.8099,-17.54,-2.0,NO_EDGE,home,True,0.0254,2.54,0.0134,1.34,True,True
