date,league,home_team,away_team,home_xg,away_xg,home_odds,draw_odds,away_odds
2025-12-22T20:00:00Z,EPL,Fulham,Nottingham Forest,58.003414,52.749253,2.51,3.3,3.02
2025-12-26T20:00:00Z,EPL,Manchester United,Newcastle United,56.91131,71.482065,2.43,3.61,2.9
2025-12-27T12:30:00Z,EPL,Nottingham Forest,Manchester City,52.749253,73.14843,5.25,4.52,1.6
2025-12-27T15:00:00Z,EPL,Arsenal,Brighton,73.569905,65.27687,1.42,4.89,7.73
2025-12-27T15:00:00Z,EPL,Brentford,Bournemouth,67.119797,72.620869,2.27,3.74,3.08
2025-12-27T15:00:00Z,EPL,West Ham,Fulham,50.58905,58.003414,2.72,3.48,2.65
2025-12-27T15:00:00Z,EPL,Liverpool,Wolverhampton Wanderers,93.239341,45.370551,1.22,7.22,12.04
2025-12-27T17:30:00Z,EPL,Chelsea,Aston Villa,73.117289,66.385246,1.88,3.95,3.96
2025-12-28T16:30:00Z,EPL,Crystal Palace,Tottenham,67.78077,65.363487,2.13,3.42,3.6
2025-12-30T19:30:00Z,EPL,Chelsea,Bournemouth,73.117289,72.620869,1.62,3.92,5.42
2025-12-30T19:30:00Z,EPL,West Ham,Brighton,50.58905,65.27687,3.03,3.66,2.24
2025-12-30T19:30:00Z,EPL,Nottingham Forest,Everton,52.749253,46.869415,2.29,3.2,3.32
2025-12-30T20:15:00Z,EPL,Arsenal,Aston Villa,73.569905,66.385246,1.44,4.67,6.75
2025-12-30T20:15:00Z,EPL,Manchester United,Wolverhampton Wanderers,56.91131,45.370551,1.33,5.52,8.18
2026-01-01T17:30:00Z,EPL,Crystal Palace,Fulham,67.78077,58.003414,2.16,3.31,3.51
2026-01-01T20:00:00Z,EPL,Brentford,Tottenham,67.119797,65.363487,2.29,3.64,2.95
